hv010,hv011,hv012,hv014,hv216,hv270,hv243a,hv244,hv245,hv209,hv208,hv243b,hv206,hv207
2,2,6,1,3,2,yes,yes,20.0,no,no,yes,no,no
1,0,6,2,3,3,yes,yes,20.0,no,no,no,no,yes
1,1,7,2,4,4,yes,no,,no,no,yes,yes,no
0,1,2,0,1,3,yes,yes,70.0,no,no,no,no,yes
1,0,4,1,1,2,yes,yes,20.0,no,no,no,no,yes
1,1,3,1,1,3,yes,yes,20.0,no,no,no,no,yes
1,0,4,0,3,3,yes,yes,50.0,no,no,no,no,no
1,1,5,1,2,2,yes,yes,20.0,no,no,no,no,yes
2,0,12,2,6,2,no,yes,20.0,no,no,yes,no,no
1,1,4,2,1,2,yes,yes,20.0,no,no,no,no,yes
2,0,3,1,2,3,yes,no,,no,no,no,no,no
1,1,5,1,2,1,yes,yes,10.0,no,no,no,no,no
1,0,10,2,3,2,yes,yes,10.0,no,no,no,no,no
1,0,7,1,4,3,yes,yes,20.0,no,no,no,no,yes
1,2,5,1,1,3,yes,no,,no,no,no,no,no
4,0,9,1,6,3,yes,yes,10.0,no,no,yes,no,yes
1,1,4,0,2,3,yes,no,,no,no,yes,no,yes
1,0,3,1,1,2,yes,no,,no,no,no,no,yes
1,2,7,1,3,2,yes,no,,no,no,no,no,no
2,1,6,1,3,2,yes,yes,30.0,no,no,yes,no,yes
1,0,6,1,2,2,yes,yes,20.0,no,no,yes,no,yes
1,2,5,1,3,3,yes,no,,no,no,yes,no,yes
3,0,5,0,2,3,yes,no,,no,no,no,no,yes
1,0,5,1,3,2,yes,yes,30.0,no,no,yes,no,no
3,0,8,1,2,4,yes,no,,yes,yes,yes,yes,yes
2,0,2,0,1,3,yes,no,,no,no,yes,no,no
1,1,9,2,3,4,yes,no,,yes,no,yes,yes,yes
1,0,7,0,4,3,yes,no,,no,no,yes,no,no
1,0,3,1,2,3,yes,no,,no,no,yes,no,yes
2,1,6,1,3,3,yes,no,,no,no,yes,no,yes
3,0,9,0,4,4,yes,yes,25.0,yes,yes,yes,yes,yes
0,1,2,1,1,3,yes,no,,no,no,yes,no,yes
3,0,6,0,2,3,yes,yes,1.0,no,no,yes,no,no
3,3,10,0,3,3,yes,no,,yes,yes,yes,yes,no
3,1,6,0,3,3,yes,yes,unknown,no,no,yes,no,yes
1,0,7,1,2,2,yes,no,,no,no,yes,no,yes
1,2,4,0,3,3,yes,no,,no,no,yes,no,no
0,1,1,0,1,3,yes,no,,no,no,no,yes,no
1,0,6,0,2,3,yes,no,,no,no,no,no,no
2,2,6,0,3,3,yes,no,,no,no,yes,no,no
1,0,11,1,4,3,yes,no,,no,no,yes,no,no
3,0,6,1,1,3,yes,no,,no,no,no,yes,no
1,1,5,1,2,3,yes,no,,no,no,no,yes,no
2,0,10,1,3,4,yes,no,,no,yes,no,yes,yes
0,0,1,0,1,3,yes,no,,no,no,yes,no,yes
4,0,6,0,4,4,yes,no,,yes,yes,yes,yes,yes
1,2,8,2,1,3,yes,no,,no,no,yes,no,yes
3,0,8,0,5,2,yes,no,,no,no,no,no,no
1,2,5,2,5,1,no,yes,95 or more,no,no,no,no,yes
0,0,2,0,2,1,yes,no,,no,no,no,no,no
3,2,9,1,5,0,yes,yes,95 or more,no,no,no,no,no
1,1,6,1,3,2,no,yes,95 or more,no,no,no,no,yes
0,0,2,0,1,0,no,yes,1.0,no,no,no,no,no
2,1,10,3,5,1,yes,no,,no,no,no,no,yes
1,0,4,1,1,0,no,yes,1.0,no,no,no,no,no
2,0,3,1,3,4,yes,no,,no,no,no,yes,yes
1,1,3,0,1,1,yes,yes,95 or more,no,no,yes,no,no
2,0,5,1,2,1,no,no,,no,no,no,no,no
1,0,4,0,2,0,no,yes,95 or more,no,no,no,no,no
1,1,5,1,1,1,no,yes,95 or more,no,no,no,no,yes
1,0,5,1,5,1,yes,yes,10.0,no,no,no,no,no
1,0,5,1,3,1,yes,yes,95 or more,no,no,no,no,no
1,1,8,1,4,2,no,no,,no,no,no,no,yes
1,0,4,1,4,1,yes,yes,1.0,no,no,no,no,yes
0,0,6,0,7,2,yes,no,,no,no,no,no,yes
1,0,5,0,4,0,no,yes,95 or more,no,no,no,no,no
1,0,2,0,1,0,no,yes,1.0,no,no,no,no,yes
1,0,11,1,6,1,no,yes,95 or more,no,no,no,no,no
1,0,6,2,2,3,yes,yes,95 or more,yes,yes,no,no,yes
0,0,6,0,4,1,no,yes,95 or more,no,no,no,no,no
3,1,13,3,6,2,yes,yes,125.0,no,no,yes,no,no
3,0,9,1,3,1,yes,yes,unknown,no,no,no,no,yes
0,0,1,0,1,2,yes,no,,no,no,no,no,yes
3,1,10,4,6,1,yes,yes,35.0,no,no,no,no,yes
1,2,7,0,4,1,no,no,,no,no,yes,no,yes
1,2,8,3,6,2,yes,yes,45.0,no,no,yes,no,no
2,2,8,2,4,0,yes,yes,45.0,no,no,no,no,no
2,0,3,0,3,1,yes,no,,no,no,yes,no,yes
1,0,5,0,3,1,yes,yes,50.0,no,no,no,no,no
1,0,9,2,2,1,yes,yes,50.0,no,no,no,no,yes
1,2,9,2,3,2,yes,yes,75.0,no,no,no,no,yes
1,2,6,0,3,1,yes,yes,50.0,no,no,no,no,no
1,1,6,1,3,2,yes,yes,125.0,no,no,no,no,yes
2,0,6,1,4,0,yes,no,,no,no,no,no,no
1,0,4,0,3,1,no,no,,no,no,no,no,yes
1,0,6,0,3,1,yes,yes,75.0,no,no,no,no,yes
0,1,1,0,1,3,yes,no,,no,no,yes,no,yes
1,0,6,1,3,1,yes,yes,50.0,no,no,yes,no,yes
5,2,13,3,5,1,yes,yes,125.0,no,no,no,no,yes
1,0,6,1,3,1,yes,yes,40.0,no,no,no,no,no
1,0,6,1,2,3,yes,no,,no,no,yes,no,yes
2,2,6,0,3,1,no,no,,no,no,no,no,yes
1,0,6,1,6,2,no,no,,no,no,no,no,no
0,0,3,0,4,1,yes,no,,no,no,no,no,no
2,1,4,0,4,4,yes,no,,no,yes,no,yes,yes
1,1,4,0,1,4,yes,no,,no,yes,no,yes,no
1,1,5,0,1,3,yes,no,,no,no,no,yes,no
1,2,3,0,2,4,yes,no,,yes,yes,yes,yes,yes
1,0,7,1,2,4,yes,no,,no,yes,no,yes,yes
0,1,1,0,1,3,yes,no,,no,no,yes,no,no
2,0,4,1,3,4,yes,no,,yes,yes,yes,yes,yes
4,3,17,4,5,4,yes,no,,no,yes,yes,yes,yes
2,0,4,1,2,4,yes,no,,yes,yes,no,yes,yes
3,0,10,1,6,4,yes,no,,yes,yes,no,no,yes
3,0,5,0,3,4,yes,yes,30.0,yes,yes,yes,yes,yes
1,4,7,0,8,4,yes,no,,yes,yes,yes,yes,yes
1,0,2,1,1,4,yes,no,,no,yes,yes,yes,yes
1,0,3,1,1,3,yes,no,,no,yes,no,yes,no
1,0,12,1,5,4,yes,no,,yes,yes,yes,yes,yes
1,0,4,0,2,4,yes,yes,10.0,yes,yes,yes,yes,yes
1,1,7,2,1,4,yes,no,,yes,yes,no,yes,yes
1,4,9,2,3,4,yes,yes,60.0,yes,yes,yes,yes,yes
3,0,8,1,1,3,yes,no,,no,no,no,yes,no
2,0,5,1,1,4,yes,no,,no,yes,no,yes,no
1,0,4,0,2,4,yes,no,,yes,yes,no,yes,yes
3,0,4,1,2,4,yes,no,,yes,yes,yes,yes,no
1,2,6,0,3,3,yes,no,,no,yes,yes,no,yes
2,0,6,0,4,1,yes,yes,unknown,no,no,no,no,yes
0,0,1,0,3,2,yes,yes,250.0,no,no,yes,no,no
1,2,7,2,4,1,yes,yes,225.0,no,no,no,no,yes
3,0,9,2,3,2,yes,yes,20.0,no,no,no,no,no
2,0,8,0,3,2,yes,yes,70.0,no,no,yes,no,yes
2,0,6,1,2,1,yes,yes,unknown,no,no,no,no,yes
0,2,2,0,2,2,yes,yes,25.0,no,no,no,no,yes
1,0,4,0,1,2,no,yes,unknown,no,no,no,no,no
1,1,7,1,4,2,no,yes,80.0,no,no,no,no,yes
0,1,1,0,3,1,yes,yes,20.0,no,no,no,no,no
0,0,2,0,1,1,no,yes,unknown,no,no,no,no,no
1,1,6,1,4,2,yes,yes,50.0,no,no,yes,no,no
1,0,1,0,1,2,yes,yes,125.0,no,no,no,no,no
1,0,3,0,3,2,no,yes,100.0,no,no,yes,no,no
1,1,3,1,1,2,yes,yes,50.0,no,no,no,no,yes
2,2,7,1,3,2,yes,yes,unknown,no,no,no,no,yes
2,0,5,2,3,1,yes,no,,no,no,no,no,no
1,0,4,0,1,2,yes,yes,unknown,no,no,no,no,no
1,0,4,1,1,2,yes,yes,50.0,no,no,no,no,yes
2,0,1,0,1,2,yes,yes,50.0,no,no,no,no,no
1,0,1,0,1,2,yes,yes,50.0,no,no,no,no,no
1,0,7,1,3,3,yes,yes,100.0,no,no,yes,no,yes
0,0,3,0,3,2,yes,yes,75.0,no,no,no,no,yes
0,2,3,0,2,1,yes,yes,15.0,no,no,no,no,no
1,1,3,0,3,2,no,yes,unknown,no,no,no,no,yes
5,0,17,2,5,2,yes,yes,unknown,no,no,no,no,yes
1,1,6,1,2,2,no,yes,unknown,no,no,no,no,yes
2,1,10,1,3,3,no,yes,45.0,no,no,no,no,yes
1,0,3,1,1,1,yes,yes,unknown,no,no,no,no,no
2,1,7,3,2,2,no,yes,unknown,no,no,no,no,yes
1,1,7,2,2,1,yes,yes,10.0,no,no,no,no,yes
1,3,5,0,5,2,yes,yes,unknown,no,no,yes,no,yes
0,0,5,1,2,2,yes,yes,unknown,no,no,no,no,no
3,0,8,2,3,1,no,yes,unknown,no,no,no,no,yes
1,1,6,2,1,0,no,yes,20.0,no,no,no,no,yes
1,0,7,2,3,1,yes,yes,35.0,no,no,yes,no,yes
1,0,4,1,1,2,yes,yes,10.0,no,no,yes,no,yes
1,0,9,2,4,2,yes,yes,35.0,no,no,yes,no,yes
2,3,9,0,3,2,no,yes,unknown,no,no,no,no,no
1,1,7,0,3,1,yes,yes,80.0,no,no,yes,no,no
2,0,10,2,4,2,yes,yes,unknown,no,no,yes,no,yes
3,0,6,0,3,2,no,yes,45.0,no,no,no,no,no
1,0,5,0,3,2,no,yes,45.0,no,no,yes,no,yes
1,0,4,1,1,2,yes,yes,35.0,no,no,yes,no,no
0,2,8,0,3,2,yes,yes,35.0,no,no,no,no,yes
1,0,4,1,2,2,yes,yes,10.0,no,no,yes,no,yes
1,2,6,1,3,3,yes,yes,25.0,no,yes,no,no,yes
2,0,5,1,3,4,yes,no,,yes,yes,yes,yes,yes
0,0,6,1,3,4,yes,no,,yes,yes,yes,yes,yes
1,3,7,1,2,4,yes,yes,95 or more,yes,yes,yes,yes,yes
2,0,3,0,3,4,yes,no,,yes,yes,yes,yes,yes
1,1,3,1,1,4,yes,no,,yes,no,yes,yes,yes
1,0,2,1,1,3,no,no,,no,no,no,yes,no
2,0,5,1,2,3,yes,yes,95 or more,no,no,yes,yes,no
0,0,6,1,4,4,yes,yes,9.0,yes,yes,no,yes,yes
1,2,7,1,4,4,yes,no,,yes,yes,yes,yes,yes
2,0,3,1,3,4,yes,no,,yes,no,yes,yes,no
1,0,1,0,1,4,yes,no,,yes,yes,yes,yes,no
1,0,10,1,2,3,yes,no,,no,yes,yes,yes,yes
1,0,5,1,2,3,yes,no,,yes,yes,no,yes,yes
1,0,5,0,1,4,yes,no,,yes,yes,yes,yes,yes
1,0,3,0,1,4,yes,no,,no,yes,yes,yes,no
2,1,5,0,2,3,no,no,,no,no,yes,no,yes
3,6,14,2,7,4,yes,no,,yes,yes,yes,yes,yes
1,0,6,1,1,4,yes,no,,no,yes,yes,yes,yes
1,1,2,0,3,4,yes,no,,yes,yes,yes,yes,yes
1,1,5,2,1,4,yes,no,,yes,no,no,yes,yes
0,0,1,0,1,3,yes,yes,9.0,no,no,no,yes,yes
0,0,2,0,1,4,yes,no,,no,yes,yes,yes,no
2,0,4,0,1,3,yes,no,,no,yes,yes,yes,no
3,0,10,1,5,3,yes,no,,no,no,yes,no,yes
1,1,3,1,1,1,no,no,,no,no,no,no,no
0,0,4,0,2,2,yes,yes,50.0,no,no,yes,no,yes
5,4,16,4,6,3,yes,no,,no,no,yes,no,yes
1,1,6,2,2,2,yes,no,,no,no,no,no,no
1,0,3,0,2,2,no,no,,no,no,no,no,yes
3,2,7,1,4,3,yes,no,,no,no,no,no,yes
3,0,7,0,2,2,yes,no,,no,no,no,no,no
4,0,8,1,7,3,yes,no,,no,no,yes,no,yes
5,4,16,2,4,3,yes,no,,no,no,yes,no,yes
1,0,3,0,5,3,yes,no,,no,no,no,no,yes
3,2,7,1,3,3,yes,no,,no,no,yes,no,yes
2,2,5,0,2,3,yes,no,,no,no,yes,no,yes
1,0,6,1,2,2,yes,no,,no,no,no,no,yes
2,0,9,1,6,2,no,no,,no,no,no,no,no
2,0,7,1,5,3,yes,yes,unknown,no,no,yes,no,yes
1,2,4,1,2,3,yes,no,,no,no,no,no,no
0,4,7,1,6,3,yes,no,,no,no,no,no,yes
1,0,3,1,1,3,yes,no,,no,no,no,no,no
1,0,5,0,3,3,yes,no,,no,no,no,no,yes
1,0,7,3,2,3,yes,no,,no,no,no,no,no
4,1,9,2,8,3,yes,yes,unknown,yes,no,yes,no,yes
3,2,8,2,4,3,yes,no,,no,no,yes,no,yes
1,0,7,0,4,3,no,yes,25.0,no,no,no,no,yes
0,0,4,2,1,0,no,no,,no,no,no,no,no
2,2,3,0,3,0,no,yes,40.0,no,no,no,no,no
0,0,3,0,3,2,yes,yes,50.0,no,no,yes,no,yes
0,1,4,0,1,0,no,yes,125.0,no,no,no,no,no
1,0,4,1,2,0,no,yes,50.0,no,no,no,no,yes
0,0,3,0,4,2,yes,yes,25.0,no,no,yes,no,yes
1,0,7,3,4,1,no,no,,no,no,no,no,no
0,0,6,0,3,2,yes,yes,25.0,no,no,yes,no,yes
1,3,8,1,3,1,yes,no,,no,no,yes,no,yes
2,1,5,2,3,2,no,yes,125.0,no,no,yes,no,yes
0,1,4,0,3,1,yes,yes,20.0,no,no,yes,no,no
0,0,5,0,3,1,no,yes,100.0,no,no,yes,no,yes
0,0,4,0,2,1,yes,no,,no,no,yes,no,no
2,0,7,1,4,1,no,yes,20.0,no,no,no,no,no
2,0,4,1,3,0,no,no,,no,no,no,no,no
1,1,3,1,4,1,yes,yes,50.0,no,no,yes,no,yes
1,0,6,1,3,1,yes,yes,120.0,no,no,yes,no,yes
2,0,3,0,3,0,no,yes,100.0,no,no,yes,no,no
1,0,3,1,2,0,no,yes,15.0,no,no,no,no,no
0,0,3,0,3,1,no,yes,10.0,no,no,no,no,no
0,0,1,0,1,1,no,yes,30.0,no,no,no,no,no
0,1,1,0,1,0,yes,no,,no,no,no,no,no
2,0,5,1,2,4,yes,no,,yes,yes,yes,yes,yes
2,0,4,0,2,3,yes,no,,no,no,yes,no,yes
1,3,5,0,4,3,yes,no,,no,no,yes,no,yes
1,0,7,1,3,3,yes,no,,no,no,yes,no,yes
0,0,3,0,1,3,no,no,,no,no,yes,no,yes
1,0,4,0,2,4,yes,no,,no,yes,yes,yes,yes
0,2,3,0,3,4,yes,no,,yes,yes,yes,yes,yes
2,0,6,0,2,4,yes,no,,yes,yes,yes,yes,yes
3,3,11,0,4,4,yes,no,,yes,yes,yes,yes,yes
1,0,6,2,4,3,yes,no,,no,no,yes,no,no
1,0,2,1,1,3,yes,no,,no,no,yes,no,no
1,0,7,2,1,3,yes,no,,yes,no,yes,no,yes
1,0,4,1,2,4,yes,no,,no,yes,yes,yes,yes
2,0,10,2,2,3,yes,no,,no,no,yes,yes,yes
2,0,6,1,2,3,yes,no,,no,no,yes,no,yes
1,0,6,2,1,4,yes,no,,yes,yes,yes,yes,yes
1,0,5,0,2,3,yes,yes,10.0,no,yes,yes,yes,yes
4,3,14,3,5,3,yes,no,,no,no,yes,no,yes
2,1,5,0,2,3,yes,no,,no,no,yes,no,yes
1,0,4,0,2,4,yes,no,,yes,yes,yes,yes,yes
2,2,10,0,4,4,yes,yes,60.0,yes,yes,yes,yes,yes
3,1,5,0,1,3,yes,no,,no,yes,yes,yes,yes
1,0,6,0,3,3,yes,no,,no,no,no,no,yes
0,1,1,0,1,0,no,yes,20.0,no,no,no,no,no
3,0,11,1,6,1,yes,yes,unknown,no,no,no,no,no
1,0,6,0,4,1,yes,yes,50.0,no,no,no,no,no
1,1,7,2,2,0,yes,yes,25.0,no,no,no,no,no
1,0,3,0,4,2,yes,yes,30.0,no,no,no,no,yes
1,1,6,2,3,1,yes,yes,45.0,no,no,yes,no,no
1,1,5,2,2,1,yes,yes,25.0,no,no,no,no,no
1,1,5,1,1,0,no,yes,25.0,no,no,no,no,no
1,0,4,1,4,0,no,no,,no,no,no,no,no
1,0,4,1,4,0,no,yes,20.0,no,no,no,no,no
1,1,3,0,1,1,yes,yes,20.0,no,no,no,no,no
0,1,5,2,1,2,yes,yes,15.0,no,no,yes,no,no
0,0,3,0,2,0,no,no,,no,no,no,no,yes
2,4,7,1,4,0,yes,yes,30.0,no,no,no,no,yes
1,1,4,0,4,1,yes,yes,25.0,no,no,no,no,yes
1,0,2,0,6,1,yes,yes,10.0,no,no,no,no,no
1,1,5,2,5,1,yes,no,,no,no,no,no,no
0,0,4,0,2,0,no,yes,1.0,no,no,no,no,no
1,1,6,3,1,0,yes,yes,30.0,no,no,no,no,yes
0,0,1,0,3,1,no,no,,no,no,no,no,yes
1,0,3,1,4,0,yes,no,,no,no,no,no,no
1,0,3,1,4,1,yes,no,,no,no,no,no,no
1,0,3,1,4,1,no,yes,30.0,no,no,no,no,no
2,0,7,2,3,0,yes,yes,40.0,no,no,no,no,no
1,0,3,1,2,1,no,yes,30.0,no,no,no,no,no
1,0,2,1,1,0,no,no,,no,no,no,no,no
2,0,9,3,4,2,yes,yes,95 or more,no,no,yes,no,yes
1,1,6,0,3,2,yes,yes,95 or more,no,no,yes,no,no
2,0,4,0,4,4,yes,yes,95 or more,yes,yes,yes,yes,yes
3,1,8,2,3,2,no,no,,no,no,no,no,yes
2,0,6,3,3,1,no,yes,1.0,no,no,yes,no,yes
1,0,8,2,2,2,no,yes,40.0,no,no,no,no,no
0,2,2,0,2,2,yes,no,,no,no,yes,no,yes
1,0,5,1,3,2,no,yes,1.0,no,no,yes,no,yes
1,0,6,1,4,2,yes,yes,90.0,no,no,yes,no,yes
1,0,5,1,1,0,no,yes,95 or more,no,no,no,no,no
1,1,3,0,1,1,no,yes,95 or more,no,no,yes,no,yes
1,0,5,2,2,2,yes,yes,1.0,no,yes,yes,no,yes
1,0,5,1,2,2,no,yes,150.0,no,no,no,no,yes
1,0,4,0,1,2,no,no,,no,no,no,no,no
2,2,8,1,7,2,no,yes,20.0,no,no,yes,no,no
1,1,4,1,3,1,yes,yes,50.0,no,no,no,no,yes
2,0,4,0,4,2,no,yes,10.0,no,no,no,no,no
2,0,9,1,4,0,no,yes,95 or more,no,no,no,no,yes
0,0,1,0,1,2,yes,yes,95 or more,no,no,no,no,yes
1,1,10,4,3,1,no,yes,95 or more,no,no,yes,no,yes
1,0,6,1,4,2,yes,yes,180.0,no,no,no,no,no
1,0,4,0,4,1,yes,yes,20.0,no,no,no,no,no
2,0,10,1,5,2,yes,yes,45.0,no,no,yes,no,yes
0,0,4,0,1,1,yes,no,,no,no,no,no,no
2,0,5,0,2,2,yes,yes,40.0,no,no,yes,no,no
1,0,5,0,4,2,yes,yes,45.0,no,no,no,no,no
1,2,5,0,6,2,yes,yes,50.0,no,no,no,no,yes
1,4,13,2,4,2,yes,yes,80.0,no,no,yes,no,yes
0,0,5,0,3,0,yes,yes,15.0,no,no,yes,no,no
1,0,2,0,1,1,no,yes,20.0,no,no,no,no,no
2,0,5,0,2,2,yes,yes,35.0,no,no,yes,no,yes
1,0,4,1,4,2,yes,yes,100.0,no,no,no,no,no
6,0,12,0,5,3,yes,yes,60.0,no,no,yes,no,yes
2,0,8,0,3,3,yes,yes,40.0,no,no,yes,no,yes
1,1,3,1,2,2,yes,yes,20.0,no,no,no,no,no
3,1,9,2,5,3,yes,yes,45.0,no,no,no,no,yes
0,0,5,0,2,1,no,yes,unknown,no,no,no,no,no
1,1,4,0,3,2,no,yes,20.0,no,no,no,no,no
3,5,15,3,7,2,yes,yes,95 or more,no,no,yes,no,yes
7,3,16,4,6,3,yes,yes,95 or more,no,no,yes,yes,no
2,2,9,1,2,2,yes,yes,60.0,no,no,yes,no,no
6,0,9,0,4,3,yes,yes,50.0,no,no,yes,no,yes
1,1,7,2,7,0,no,yes,25.0,no,no,no,no,no
7,0,12,0,3,2,yes,yes,60.0,no,no,no,no,no
3,0,9,1,5,1,yes,yes,25.0,no,no,yes,no,yes
0,0,5,0,3,0,no,yes,12.0,no,no,no,no,no
0,0,2,0,1,1,yes,yes,50.0,no,no,yes,no,yes
1,0,8,2,3,0,yes,yes,5.0,no,no,yes,no,no
1,0,5,1,3,0,yes,yes,23.0,no,no,no,no,no
1,1,7,1,3,1,yes,yes,45.0,no,no,no,no,no
2,1,4,0,2,1,yes,yes,73.0,no,no,yes,no,yes
1,1,4,0,2,1,no,yes,10.0,no,no,yes,no,no
1,0,6,2,2,1,yes,yes,25.0,no,no,yes,no,yes
0,0,5,0,2,0,no,yes,10.0,no,no,no,no,no
1,1,6,2,1,0,no,yes,20.0,no,no,no,no,yes
0,0,3,0,2,0,no,yes,17.0,no,no,no,no,no
1,1,2,0,1,0,no,yes,43.0,no,no,no,no,no
0,0,4,0,3,2,yes,yes,40.0,no,no,yes,no,yes
2,3,8,1,3,1,yes,yes,101.0,no,no,yes,no,yes
1,1,5,1,3,0,yes,yes,10.0,no,no,no,no,no
1,0,4,1,2,0,no,yes,10.0,no,no,no,no,yes
0,0,3,2,1,0,no,yes,73.0,no,no,no,no,no
2,0,6,0,2,1,yes,yes,37.0,no,no,no,no,yes
1,2,6,0,2,2,no,yes,30.0,no,no,no,no,yes
0,0,3,0,2,0,no,yes,23.0,no,no,no,no,no
0,1,5,1,3,0,no,yes,10.0,no,no,no,no,no
0,1,5,2,2,0,no,yes,25.0,no,no,yes,no,no
1,0,6,2,2,2,yes,yes,53.0,no,no,no,no,yes
1,1,6,0,2,1,yes,yes,62.0,no,no,no,no,yes
1,0,4,2,2,0,no,yes,2.0,no,no,no,no,no
0,2,4,0,2,2,yes,yes,10.0,no,no,no,no,no
0,0,2,0,1,2,yes,yes,25.0,no,no,no,no,no
1,0,6,2,1,1,yes,yes,15.0,no,no,yes,no,yes
0,0,3,0,2,1,yes,yes,unknown,no,no,no,no,no
1,1,3,1,1,2,yes,yes,1.0,no,no,no,no,yes
3,0,12,3,3,1,yes,yes,40.0,no,no,no,no,no
1,0,3,1,1,2,yes,yes,8.0,no,no,no,no,yes
1,1,4,2,1,2,no,yes,1.0,no,no,no,no,no
1,1,5,3,1,1,yes,yes,10.0,no,no,no,no,yes
1,0,4,1,1,1,yes,no,,no,no,no,no,no
1,0,4,1,1,2,yes,yes,50.0,no,no,no,no,yes
1,0,5,0,3,2,yes,yes,150.0,no,no,no,no,yes
2,1,10,2,5,2,yes,yes,10.0,no,no,no,no,yes
1,1,5,1,2,0,yes,yes,20.0,no,no,no,no,no
3,0,8,1,5,2,yes,yes,50.0,no,no,yes,no,yes
1,1,5,1,2,1,no,yes,10.0,no,no,no,no,no
0,0,3,1,1,2,yes,yes,10.0,no,no,no,no,no
1,1,6,2,2,1,yes,yes,10.0,no,no,no,no,no
2,1,9,2,3,1,yes,yes,50.0,no,no,no,no,no
3,0,9,1,3,2,yes,yes,15.0,no,no,yes,no,no
1,0,3,1,1,3,yes,yes,100.0,no,no,no,no,yes
1,0,6,1,3,1,no,yes,18.0,no,no,no,no,no
2,0,6,0,2,0,no,yes,unknown,no,no,no,no,yes
1,0,6,2,2,0,yes,yes,unknown,no,no,no,no,no
1,0,7,2,3,0,no,yes,unknown,no,no,no,no,no
1,2,5,2,4,2,yes,yes,20.0,no,no,no,no,no
3,1,12,2,5,0,yes,yes,58.0,no,no,no,no,no
0,1,3,0,2,0,no,yes,unknown,no,no,no,no,yes
1,1,3,1,2,0,no,yes,unknown,no,no,no,no,no
1,1,5,0,3,0,no,no,,no,no,no,no,yes
1,0,2,0,2,0,no,no,,no,no,no,no,no
2,0,7,1,2,1,yes,yes,unknown,no,no,no,no,no
3,0,7,1,4,0,no,yes,110.0,no,no,no,no,no
1,0,5,3,3,0,no,yes,100.0,no,no,yes,no,no
1,0,6,1,4,0,no,yes,50.0,no,no,no,no,yes
1,0,5,1,3,0,no,yes,unknown,no,no,yes,no,yes
2,0,13,2,4,0,yes,yes,58.0,no,no,no,no,yes
2,0,8,2,5,1,yes,yes,60.0,no,no,no,no,no
1,0,8,1,3,1,yes,yes,unknown,no,no,no,no,yes
1,1,4,1,3,0,no,yes,unknown,no,no,no,no,no
1,0,5,1,2,0,no,yes,unknown,no,no,no,no,no
1,3,6,1,2,1,yes,yes,unknown,no,no,no,no,yes
1,2,6,0,3,0,yes,yes,20.0,no,no,no,no,yes
1,0,6,0,3,0,yes,yes,unknown,no,no,no,no,yes
0,0,3,0,2,0,no,yes,unknown,no,no,no,no,no
1,0,4,0,3,0,yes,yes,unknown,no,no,no,no,yes
1,0,5,1,2,1,yes,yes,125.0,no,no,yes,no,yes
0,0,4,1,2,0,no,yes,16.0,no,no,no,no,yes
4,1,9,4,3,0,no,yes,unknown,no,no,no,no,no
1,1,5,2,1,1,no,yes,100.0,no,no,yes,no,no
1,0,3,1,1,0,no,yes,70.0,no,no,no,no,no
0,0,2,1,1,0,no,yes,75.0,no,no,no,no,no
2,0,6,2,4,1,no,yes,80.0,no,no,no,no,no
1,0,8,2,4,1,no,yes,60.0,no,no,no,no,no
3,0,11,0,4,1,no,yes,unknown,no,no,no,no,no
0,0,3,0,2,0,no,yes,60.0,no,no,no,no,no
0,0,6,1,4,1,no,yes,24.0,no,no,no,no,no
2,0,9,2,4,1,no,yes,50.0,no,no,yes,no,yes
3,2,10,1,4,1,no,yes,80.0,no,no,no,no,no
0,0,5,2,4,0,yes,yes,70.0,no,no,no,no,no
0,0,5,3,2,0,no,no,,no,no,no,no,no
1,0,6,1,2,1,no,yes,80.0,no,no,no,no,no
2,1,7,1,3,1,no,no,,no,no,no,no,no
1,0,3,1,2,2,yes,yes,50.0,no,no,no,no,yes
2,1,6,0,3,2,yes,yes,50.0,no,no,no,no,yes
0,0,4,0,2,0,no,yes,unknown,no,no,no,no,no
0,1,3,0,2,1,no,no,,no,no,yes,no,no
2,1,9,2,3,0,no,no,,no,no,no,no,no
2,0,8,2,4,0,no,no,,no,no,no,no,no
1,3,8,1,3,0,no,yes,50.0,no,no,no,no,no
2,0,5,1,3,4,yes,no,,no,yes,yes,yes,yes
1,2,9,0,3,3,yes,yes,45.0,no,no,yes,no,yes
2,2,7,1,2,3,yes,yes,35.0,no,no,yes,yes,yes
1,0,3,0,2,4,yes,no,,no,yes,yes,yes,yes
3,0,8,2,2,3,yes,no,,no,no,no,no,no
2,3,8,1,4,3,yes,no,,no,no,no,yes,no
0,1,2,0,1,3,yes,yes,25.0,no,no,yes,no,yes
0,1,5,0,1,3,yes,no,,no,no,no,no,yes
1,1,6,2,2,3,yes,yes,10.0,no,no,yes,no,yes
0,0,3,0,2,3,yes,yes,unknown,no,no,yes,yes,no
2,0,7,1,3,4,yes,yes,50.0,no,yes,yes,yes,yes
3,0,4,0,1,2,yes,no,,no,no,no,no,no
1,0,7,0,2,3,yes,no,,no,no,yes,no,yes
1,0,4,1,1,3,yes,no,,no,no,yes,no,yes
1,2,6,1,2,3,yes,no,,no,no,no,yes,no
1,0,4,0,1,3,no,no,,no,no,yes,no,no
1,0,9,1,4,3,yes,yes,100.0,no,no,yes,no,yes
0,2,2,0,2,3,yes,yes,25.0,no,no,no,no,yes
